"Player","Position","Salary","Length.of.Contract","Age","GS","MP","FG","X3P.","X2P","FT","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS","USG","ORtg","DRtg","OWS","DWS","WS"
"Blake Griffin","Forward",18668,5,23,80,32.5,0.538,0.179,0.548,0.66,8.3,3.7,1.2,0.6,2.3,2.9,18,22.4,0.572,25.4,114,102,6.8,3.9,10.6
"Chris Paul","Guard",16442,5,27,70,33.4,0.481,0.328,0.538,0.885,3.7,9.7,2.4,0.1,2.3,2,16.9,26.4,0.594,22.6,127,102,10.6,3.4,13.9
"JJ Redick","Guard",10079,4,28,13,30.5,0.434,0.366,0.506,0.9,2.2,3.8,0.5,0.1,1.8,1.5,14.1,14.7,0.571,20.8,111,113,4,0.5,4.5
"DeAndre Jordan","Center",6500,4,22,66,25.6,0.686,0,0.688,0.452,7.2,0.5,0.5,1.8,1.3,3.2,7.1,14.8,0.648,11.7,116,105,2.6,2.6,5.2
"Jamal Crawford","Guard",5000,4,31,6,26.9,0.384,0.308,0.426,0.927,2,3.2,0.9,0.2,1.9,1.2,14,15.7,0.506,26.6,102,109,1.6,0.7,2.3
"Jared Dudley","Forward",4250,5,25,15,26.1,0.477,0.415,0.519,0.743,3.9,1.3,1.1,0.2,0.9,1.7,10.6,15.6,0.598,16.9,119,111,4.2,1.4,5.6
"Matt Barnes","Forward",3250,3,32,4,25.7,0.462,0.342,0.574,0.744,4.6,1.5,1,0.8,1.1,2.9,10.3,15.5,0.566,18.1,113,103,3.5,2.8,6.3
"Darren Collison","Guard",1900,2,25,47,29.3,0.471,0.353,0.498,0.88,2.7,5.1,1.2,0.1,2.1,1.7,12,16.3,0.575,19.6,111,109,4,1.7,5.6
"Willie Green","Guard",1375,3,30,2,17.4,0.471,0.442,0.486,0.857,1.5,0.8,0.4,0.1,0.6,1.4,7.6,13.9,0.578,19.5,110,105,1.4,0.9,2.4
"Byron Mullens","Forward",948,2,23,41,26.9,0.385,0.317,0.425,0.646,6.4,1.5,0.6,0.6,1.4,2.1,10.6,12.3,0.465,21.7,94,110,-0.6,0.7,0.1
"Ryan Hollins","Center",1186,1,28,0,11.1,0.614,0,0.614,0.75,2.3,0.2,0.1,0.6,0.7,2.2,3.4,11.3,0.674,13.6,115,105,1,0.8,1.7
"Antawn Jamison","Forward",1400,1,36,6,21.5,0.464,0.361,0.535,0.691,4.8,0.7,0.4,0.3,0.7,1.6,9.4,15.3,0.561,18.7,114,108,3,1.3,4.3
"Andrew Bogut","Center",10000,5,25,69,32.3,0.52,0,0.521,0.629,10.2,1.8,0.6,2.5,1.9,3.2,15.9,20.7,0.54,23.3,107,98,2.6,4.8,7.5
"David Lee","Center",10800,6,26,81,37.3,0.545,0,0.549,0.812,11.7,3.6,1,0.5,2.3,3.2,20.2,22.2,0.584,23.8,116,108,7.4,2.9,10.3
"Andre Iguodala","Guard",12869,4,29,80,34.7,0.451,0.317,0.515,0.574,5.3,5.4,1.7,0.7,2.6,1.6,13,15.2,0.52,18.8,105,105,2.4,3.2,5.6
"Stephen Curry","Guard",9888,4,24,78,38.2,0.451,0.453,0.449,0.9,4,6.9,1.6,0.2,3.1,2.5,22.9,21.3,0.589,26.4,115,107,8.4,2.8,11.2
"Marreese Speights","Center",3500,3,25,3,16.5,0.445,0.3,0.448,0.771,4.9,0.6,0.3,0.7,1,2.2,8.3,17.3,0.498,25.8,103,104,1.1,1.7,2.8
"Jermaine O'Neal","Center",2000,1,34,4,18.7,0.482,0,0.482,0.835,5.3,0.8,0.3,1.4,1.3,2.3,8.3,16.7,0.538,21.4,103,104,0.7,1.3,2
"Toney Douglas","Guard",1600,1,26,0,18.2,0.403,0.38,0.424,0.905,1.9,2.1,1,0,1.1,2,7.5,13.4,0.531,19.9,106,108,1.4,1,2.4
"Emeka Okafor","Center",9538,6,25,82,33.1,0.535,0,0.535,0.57,10.7,0.9,0.8,1.7,2,2.9,13.8,17.4,0.553,20,106,105,2.2,3.6,5.8
"Caron Butler","Forward",8000,3,29,29,29.9,0.45,0.431,0.454,0.773,4.1,1.6,1,0.3,1.7,2,15,14.2,0.523,25.1,100,106,0.2,1,1.2
